3997544	3997544	1	32
1547110	1547110	2	58
1417055	1417055	1	64
5301177	5301177	2	17
2671862	2671862	1	32
4535478	4535478	2	51
2355116	2355116	1	62
1988994	1988994	2	30
4642463	4642463	1	17
1744109	1744109	2	86
5262043	5262043	1	91
5930440	5930440	2	15
4543328	4543328	1	22
2410912	2410912	2	21
5848942	5848942	1	30
1346920	1346920	2	34
2332313	2332313	1	35
4261816	4261816	2	21
1809047	1809047	1	29
3955071	3955071	2	16
3853445	3853445	1	30
4223440	4223440	2	32
3393386	3393386	1	58
1057061	1057061	2	64
2227196	2227196	1	17
3665945	3665945	2	32
2488078	2488078	1	51
4783519	4783519	2	62
5614427	5614427	1	30
2431041	2431041	2	17
5937366	5937366	1	86
4753349	4753349	2	91
2438254	2438254	1	15
5525797	5525797	2	22
2700091	2700091	1	21
3991501	3991501	2	30
5193355	5193355	1	34
5977046	5977046	2	35
4833473	4833473	1	21
3779181	3779181	2	29
1733900	1733900	1	16
4304396	4304396	2	30
5494095	5494095	1	32
5971055	5971055	2	51
3076701	3076701	1	62
4063177	4063177	2	30
4334830	4334830	1	17
1271738	1271738	2	86
4825794	4825794	1	91
5651777	5651777	2	21
5265770	5265770	1	29
3942637	3942637	2	16
5725455	5725455	1	30
5294217	5294217	2	32
2489167	2489167	1	51
4579185	4579185	2	62
1746716	1746716	1	30
5835565	5835565	2	34
3064770	3064770	1	35
5190249	5190249	2	21
1184322	1184322	1	29
5232001	5232001	2	16
5595635	5595635	1	30
1492468	1492468	2	32
4018901	4018901	1	30
5062329	5062329	2	32
3882849	3882849	1	51
5078704	5078704	2	62
2990688	2990688	1	30
3961732	3961732	2	34
4918469	4918469	1	30
5328778	5328778	2	34
1288474	1288474	1	35
2211460	2211460	2	21
4695090	4695090	1	29
1284526	1284526	2	16
2954847	2954847	1	30
1848200	1848200	2	32
3127588	3127588	1	30
2988099	2988099	2	32
1865872	1865872	1	51
5904192	5904192	2	62
5159314	5159314	1	30
5676043	5676043	2	34
5263450	5263450	1	17
5985556	5985556	2	86
1634351	1634351	1	91
5127989	5127989	2	21
4206939	4206939	1	29
5911270	5911270	2	16
4930193	4930193	1	30
1627779	1627779	2	32
2404841	2404841	1	51
5894985	5894985	2	62
3061619	3061619	1	30
2941732	2941732	2	34
4983005	4983005	1	35
3976803	3976803	2	21
1107821	1107821	1	29
4591242	4591242	2	16
