3997544	3997544	172.7 
1547110	1547110	160.0 
1417055	1417055	164.0 
5301177	5301177	157.6 
2671862	2671862	197.5 
4535478	4535478	187.2 
2355116	2355116	154.7 
1988994	1988994	174.4 
4642463	4642463	161.7 
1744109	1744109	165.7 
5262043	5262043	159.3 
5930440	5930440	199.2 
4543328	4543328	188.9 
2410912	2410912	148.2 
5848942	5848942	153.6 
1346920	1346920	157.4 
2332313	2332313	151.3 
4261816	4261816	189.2 
1809047	1809047	179.5 
3955071	3955071	140.8 
3853445	3853445	145.9 
4223440	4223440	149.5 
3393386	3393386	163.6 
1057061	1057061	167.4 
2227196	2227196	161.3 
3665945	3665945	199.2 
2488078	2488078	189.5 
4783519	4783519	150.8 
5614427	5614427	155.9 
2431041	2431041	159.5 
5937366	5937366	154.7 
4753349	4753349	174.4 
2438254	2438254	161.7 
5525797	5525797	165.7 
2700091	2700091	159.3 
3991501	3991501	199.2 
5193355	5193355	188.9 
5977046	5977046	148.2 
4833473	4833473	153.6 
3779181	3779181	157.4 
1733900	1733900	151.3 
4304396	4304396	189.2 
5494095	5494095	179.5 
5971055	5971055	140.8 
3076701	3076701	187.2 
4063177	4063177	187.5 
4334830	4334830	180.0 
1271738	1271738	182.0 
4825794	4825794	189.0 
5651777	5651777	178.0 
5265770	5265770	179.0 
3942637	3942637	175.0 
5725455	5725455	173.0 
5294217	5294217	174.0 
2489167	2489167	172.7 
4579185	4579185	160.0 
1746716	1746716	164.0 
5835565	5835565	157.6 
3064770	3064770	197.5 
5190249	5190249	187.2 
1184322	1184322	154.7 
5232001	5232001	174.4 
5595635	5595635	161.7 
1492468	1492468	165.7 
4018901	4018901	159.3 
5062329	5062329	199.2 
3882849	3882849	188.9 
5078704	5078704	148.2 
2990688	2990688	153.6 
3961732	3961732	157.4 
4918469	4918469	151.3 
5328778	5328778	189.2 
1288474	1288474	179.5 
2211460	2211460	140.8 
4695090	4695090	145.9 
1284526	1284526	149.5 
2954847	2954847	163.6 
1848200	1848200	167.4 
3127588	3127588	161.3 
2988099	2988099	199.2 
1865872	1865872	189.5 
5904192	5904192	150.8 
5159314	5159314	155.9 
5676043	5676043	159.5 
5263450	5263450	154.7 
5985556	5985556	174.4 
1634351	1634351	161.7 
5127989	5127989	165.7 
4206939	4206939	159.3 
5911270	5911270	199.2 
4930193	4930193	188.9 
1627779	1627779	148.2 
2404841	2404841	153.6 
5894985	5894985	157.4 
3061619	3061619	151.3 
2941732	2941732	189.2 
4983005	4983005	179.5 
3976803	3976803	140.8 
1107821	1107821	187.2 
4591242	4591242	187.5 
